ID,Category,Sub Category,State Standard
K.OA.4,Operations And Algebraic Thinking,"Understand Addition As Putting Together And Adding To, And Under- Stand Subtraction As Taking Apart And Taking From.","For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation."
K.OA.5,Operations And Algebraic Thinking,"Understand Addition As Putting Together And Adding To, And Under- Stand Subtraction As Taking Apart And Taking From.",Fluently add and subtract within 5.
K.NBT.1,Number And Operations In Base Ten,Work With Numbers 11Ð19 To Gain Foundations For Place Value.,"Compose and decompose numbers from 11 to 19 into ten ones and some further ones, e.g., by using objects or drawings, and record each composition or decomposition by a drawing or equation (e.g., 18 = 10 + 8); understand that these numbers are composed of ten ones and one, two, three, four, five, six, seven, eight, or nine ones."
K.MD.1,Measurement And Data,Describe And Compare Measurable Attributes.,"Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object."
K.MD.2,Measurement And Data,Describe And Compare Measurable Attributes.,"Directly compare two objects with a measurable attribute in common, to see which object has Òmore ofÓ/Òless ofÓ the attribute, and describe the difference. For example, directly compare the heights of two children and describe one child as taller/shorter."
K.MD.3,Measurement And Data,Classify Objects And Count The Number Of Objects In Each Category.,Classify objects into given categories; count the numbers of objects in each category and sort the categories by count.3
K.G.1,Geometry,"Identify And Describe Shapes (Squares, Circles, Triangles, Rectangles, Hexagons, Cubes, Cones, Cylinders, And Spheres).","Describe objects in the environment using names of shapes, and describe the relative positions of these objects using terms such as above, below, beside, in front of, behind, and next to."
K.G.2,Geometry,"Identify And Describe Shapes (Squares, Circles, Triangles, Rectangles, Hexagons, Cubes, Cones, Cylinders, And Spheres).",Correctly name shapes regardless of their orientations or overall size.
K.G.3,Geometry,"Identify And Describe Shapes (Squares, Circles, Triangles, Rectangles, Hexagons, Cubes, Cones, Cylinders, And Spheres).","Identify shapes as two-dimensional (lying in a plane, ÒflatÓ) or three- dimensional (ÒsolidÓ)."
K.G.4,Geometry,"Analyze, Compare, Create, And Compose Shapes.","Analyze and compare two- and three-dimensional shapes, in different sizes and orientations, using informal language to describe their similarities, differences, parts (e.g., number of sides and vertices/ÒcornersÓ) and other attributes (e.g., having sides of equal length)."
K.G.5,Geometry,"Analyze, Compare, Create, And Compose Shapes.","Model shapes in the world by building shapes from components (e.g., sticks and clay balls) and drawing shapes."
K.G.6,Geometry,"Analyze, Compare, Create, And Compose Shapes.","Compose simple shapes to form larger shapes. For example, ÒCan you join these two triangles with full sides touching to make a rectangle?Ó"
1.OA.1,Operations And Algebraic Thinking,Represent And Solve Problems Involving Addition And Subtraction.,"Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.2"
1.OA.2,Operations And Algebraic Thinking,Represent And Solve Problems Involving Addition And Subtraction.,"Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem."
1.OA.3,Operations And Algebraic Thinking,Understand And Apply Properties Of Operations And The Relationship Between Addition And Subtraction.,"Apply properties of operations as strategies to add and subtract.3 Examples: If 8 + 3 = 11 is known, then 3 + 8 = 11 is also known. (Commutative property of addition.) To add 2 + 6 + 4, the second two numbers can be added to make a ten, so 2 + 6 + 4 = 2 + 10 = 12. (Associative property of addition.)"
1.OA.4,Operations And Algebraic Thinking,Understand And Apply Properties Of Operations And The Relationship Between Addition And Subtraction.,"Understand subtraction as an unknown-addend problem. For example, subtract 10 Ð 8 by finding the number that makes 10 when added to 8."
1.OA.5,Operations And Algebraic Thinking,Add And Subtract Within 20.,"Relate counting to addition and subtraction (e.g., by counting on 2 to add 2)."
1.OA.6,Operations And Algebraic Thinking,Add And Subtract Within 20.,"Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 Ð 4 = 13 Ð 3 Ð 1 = 10 Ð 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 Ð 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13)."
1.OA.7,Operations And Algebraic Thinking,Work With Addition And Subtraction Equations.,"Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false. For example, which of the following equations are true and which are false? 6 = 6, 7 = 8 Ð 1, 5 + 2 = 2 + 5, 4 + 1 = 5 + 2."
1.OA.8,Operations And Algebraic Thinking,Work With Addition And Subtraction Equations.,"Determine the unknown whole number in an addition or subtraction equation relating three whole numbers. For example, determine the unknown number that makes the equation true in each of the equations 8 + ? = 11, 5 = ð Ð 3, 6 + 6 = ð."
1.NBT.1,Number And Operations In Base Ten,Extend The Counting Sequence.,"Count to 120, starting at any number less than 120. In this range, read and write numerals and represent a number of objects with a written numeral."
1.NBT.2,Number And Operations In Base Ten,Understand Place Value.,Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases:
1.NBT.2.a,Number And Operations In Base Ten,Understand Place Value.,10 can be thought of as a bundle of ten ones Ñ called a Òten.Ó b.
1.NBT.2.b,Number And Operations In Base Ten,Understand Place Value.,"The numbers from 11 to 19 are composed of a ten and one, two, three, four, five, six, seven, eight, or nine ones."
1.NBT.2.c,Number And Operations In Base Ten,Understand Place Value.,"The numbers 10, 20, 30, 40, 50, 60, 70, 80, 90 refer to one, two, three, four, five, six, seven, eight, or nine tens (and 0 ones)."
1.NBT.3,Number And Operations In Base Ten,Understand Place Value.,"Compare two two-digit numbers based on meanings of the tens and ones digits, recording the results of comparisons with the symbols >, =, and <."
1.NBT.4,Number And Operations In Base Ten,Use Place Value Understanding And Properties Of Operations To Add And Subtract.,"Add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used. Understand that in adding two-digit numbers, one adds tens and tens, ones and ones; and sometimes it is necessary to compose a ten."
1.NBT.5,Number And Operations In Base Ten,Use Place Value Understanding And Properties Of Operations To Add And Subtract.,"Given a two-digit number, mentally find 10 more or 10 less than the number, without having to count; explain the reasoning used."
1.NBT.6,Number And Operations In Base Ten,Use Place Value Understanding And Properties Of Operations To Add And Subtract.,"Subtract multiples of 10 in the range 10-90 from multiples of 10 in the range 10-90 (positive or zero differences), using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used."
1.MD.1,Measurement And Data,Measure Lengths Indirectly And By Iterating Length Units.,Order three objects by length; compare the lengths of two objects indirectly by using a third object.
1.MD.2,Measurement And Data,Measure Lengths Indirectly And By Iterating Length Units.,"Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps. Limit to contexts where the object being measured is spanned by a whole number of length units with no gaps or overlaps."
1.MD.3,Measurement And Data,Tell And Write Time.,Tell and write time in hours and half-hours using analog and digital clocks.
1.MD.4,Measurement And Data,Represent And Interpret Data.,"Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another."
1.G.1,Geometry,Reason With Shapes And Their Attributes.,"Distinguish between defining attributes (e.g., triangles are closed and three-sided) versus non-defining attributes (e.g., color, orientation, overall size); build and draw shapes to possess defining attributes."
1.G.2,Geometry,Reason With Shapes And Their Attributes.,"Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quarter-circles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape.4"
1.G.3,Geometry,Reason With Shapes And Their Attributes.,"Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares."
2.OA.1,Operations And Algebraic Thinking,Represent And Solve Problems Involving Addition And Subtraction.,"Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.1"
2.OA.2,Operations And Algebraic Thinking,Add And Subtract Within 20.,"Fluently add and subtract within 20 using mental strategies.2 By end of Grade 2, know from memory all sums of two one-digit numbers."
2.OA.3,Operations And Algebraic Thinking,Work With Equal Groups Of Objects To Gain Foundations For Multiplication.,"Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends."
2.OA.4,Operations And Algebraic Thinking,Work With Equal Groups Of Objects To Gain Foundations For Multiplication.,Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.
2.NBT.1,Number And Operations In Base Ten,Understand Place Value.,"Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones. Understand the following as special cases:"
2.NBT.1.a,Number And Operations In Base Ten,Understand Place Value.,100 can be thought of as a bundle of ten tens Ñ called a Òhundred.Ó
2.NBT.1.b,Number And Operations In Base Ten,Understand Place Value.,"The numbers 100, 200, 300, 400, 500, 600, 700, 800, 900 refer to one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones)."
2.NBT.2,Number And Operations In Base Ten,Understand Place Value.,"Count within 1000; skip-count by 5s, 10s, and 100s."
2.NBT.3,Number And Operations In Base Ten,Understand Place Value.,"Read and write numbers to 1000 using base-ten numerals, number names, and expanded form."
2.NBT.4,Number And Operations In Base Ten,Understand Place Value.,"Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using >, =, and < symbols to record the results of comparisons."
2.NBT.5,Number And Operations In Base Ten,Use Place Value Understanding And Properties Of Operations To Add And Subtract.,"Fluently add and subtract within 100 using strategies based on place value, properties of operations, and/or the relationship between addition and subtraction."
2.NBT.6,Number And Operations In Base Ten,Use Place Value Understanding And Properties Of Operations To Add And Subtract.,Add up to four two-digit numbers using strategies based on place value and properties of operations.
2.NBT.7,Number And Operations In Base Ten,Use Place Value Understanding And Properties Of Operations To Add And Subtract.,"Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method. Understand that in adding or subtracting three- digit numbers, one adds or subtracts hundreds and hundreds, tens and tens, ones and ones; and sometimes it is necessary to compose or decompose tens or hundreds."
2.NBT.8,Number And Operations In Base Ten,Use Place Value Understanding And Properties Of Operations To Add And Subtract.,"Mentally add 10 or 100 to a given number 100Ð900, and mentally subtract 10 or 100 from a given number 100Ð900."
2.NBT.9,Number And Operations In Base Ten,Use Place Value Understanding And Properties Of Operations To Add And Subtract.,"Explain why addition and subtraction strategies work, using place value and the properties of operations.3"
2.MD.1,Measurement And Data,Measure And Estimate Lengths In Standard Units.,"Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes."
2.MD.2,Measurement And Data,Measure And Estimate Lengths In Standard Units.,"Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen."
2.MD.3,Measurement And Data,Measure And Estimate Lengths In Standard Units.,"Estimate lengths using units of inches, feet, centimeters, and meters."
2.MD.4,Measurement And Data,Measure And Estimate Lengths In Standard Units.,"Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit."
2.MD.5,Measurement And Data,Relate Addition And Subtraction To Length.,"Use addition and subtraction within 100 to solve word problems involving lengths that are given in the same units, e.g., by using drawings (such as drawings of rulers) and equations with a symbol for the unknown number to represent the problem."
2.MD.6,Measurement And Data,Relate Addition And Subtraction To Length.,"Represent whole numbers as lengths from 0 on a number line diagram with equally spaced points corresponding to the numbers 0, 1, 2, ..., and represent whole-number sums and differences within 100 on a number line diagram."
2.MD.7,Measurement And Data,Work With Time And Money.,"Tell and write time from analog and digital clocks to the nearest five minutes, using a.m. and p.m."
2.MD.8,Measurement And Data,Work With Time And Money.,"Solve word problems involving dollar bills, quarters, dimes, nickels, and pennies, using $ and ¢ symbols appropriately. Example: If you have 2 dimes and 3 pennies, how many cents do you have?"
2.MD.9,Measurement And Data,Represent And Interpret Data.,"Generate measurement data by measuring lengths of several objects to the nearest whole unit, or by making repeated measurements of the same object. Show the measurements by making a line plot, where the horizontal scale is marked off in whole-number units."
2.MD.10,Measurement And Data,Represent And Interpret Data.,"Draw a picture graph and a bar graph (with single-unit scale) to represent a data set with up to four categories. Solve simple put- together, take-apart, and compare problems4 using information presented in a bar graph."
2.G.1,Geometry,Reason With Shapes And Their Attributes.,"Recognize and draw shapes having specified attributes, such as a given number of angles or a given number of equal faces.5 Identify triangles, quadrilaterals, pentagons, hexagons, and cubes."
2.G.2,Geometry,Reason With Shapes And Their Attributes.,Partition a rectangle into rows and columns of same-size squares and count to find the total number of them.
2.G.3,Geometry,Reason With Shapes And Their Attributes.,"Partition circles and rectangles into two, three, or four equal shares, describe the shares using the words halves, thirds, half of, a third of, etc., and describe the whole as two halves, three thirds, four fourths. Recognize that equal shares of identical wholes need not have the same shape."
3.OA.1,Operations And Algebraic Thinking,Represent And Solve Problems Involving Multiplication And Division.,"Interpret products of whole numbers, e.g., interpret 5 _ 7 as the total number of objects in 5 groups of 7 objects each. For example, describe a context in which a total number of objects can be expressed as 5 _ 7."
3.OA.2,Operations And Algebraic Thinking,Represent And Solve Problems Involving Multiplication And Division.,"Interpret whole-number quotients of whole numbers, e.g., interpret 56 Ö 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 objects each. For example, describe a context in which a number of shares or a number of groups can be expressed as 56 Ö 8."
3.OA.3,Operations And Algebraic Thinking,Represent And Solve Problems Involving Multiplication And Division.,"Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.1"
3.OA.4,Operations And Algebraic Thinking,Represent And Solve Problems Involving Multiplication And Division.,"Determine the unknown whole number in a multiplication or division equation relating three whole numbers. For example, determine the unknown number that makes the equation true in each of the equations 8 _ ? = 48, 5 = ð Ö 3, 6 _ 6 = ?."
3.OA.5,Operations And Algebraic Thinking,Understand Properties Of Multiplication And The Relationship Between Multiplication And Division.,"Apply properties of operations as strategies to multiply and divide.2 Examples: If 6 _ 4 = 24 is known, then 4 _ 6 = 24 is also known. (Commutative property of multiplication.) 3 _ 5 _ 2 can be found by 3 _ 5 = 15, then 15 _ 2 = 30, or by 5 _ 2 = 10, then 3 _ 10 = 30. (Associative property of multiplication.) Knowing that 8 _ 5 = 40 and 8 _ 2 = 16, one can find 8 _ 7 as 8 _ (5 + 2) = (8 _ 5) + (8 _ 2) = 40 + 16 = 56. (Distributive property.)"
3.OA.6,Operations And Algebraic Thinking,Understand Properties Of Multiplication And The Relationship Between Multiplication And Division.,"Understand division as an unknown-factor problem. For example, find 32 Ö 8 by finding the number that makes 32 when multiplied by 8."
3.OA.7,Operations And Algebraic Thinking,Multiply And Divide Within 100.,"Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division (e.g., knowing that 8 _ 5 = 40, one knows 40 Ö 5 = 8) or properties of operations. By the end of Grade 3, know from memory all products of two one-digit numbers."
3.OA.8,Operations And Algebraic Thinking,"Solve Problems Involving The Four Operations, And Identify And Explain Patterns In Arithmetic.",Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.3
3.OA.9,Operations And Algebraic Thinking,"Solve Problems Involving The Four Operations, And Identify And Explain Patterns In Arithmetic.","Identify arithmetic patterns (including patterns in the addition table or multiplication table), and explain them using properties of operations. For example, observe that 4 times a number is always even, and explain why 4 times a number can be decomposed into two equal addends."
3.NBT.1,Number And Operations In Base Ten,Use Place Value Understanding And Properties Of Operations To Perform Multi-Digit Arithmetic.4,Use place value understanding to round whole numbers to the nearest 10 or 100.
3.NBT.2,Number And Operations In Base Ten,Use Place Value Understanding And Properties Of Operations To Perform Multi-Digit Arithmetic.4,"Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction."
3.NBT.3,Number And Operations In Base Ten,Use Place Value Understanding And Properties Of Operations To Perform Multi-Digit Arithmetic.4,"Multiply one-digit whole numbers by multiples of 10 in the range 10Ð90 (e.g., 9 _ 80, 5 _ 60) using strategies based on place value and properties of operations."
3.NF.1,Number And OperationsÑFractions5,Develop Understanding Of Fractions As Numbers.,Understand a fraction 1/b as the quantity formed by 1 part when a whole is partitioned into b equal parts; understand a fraction a/b as the quantity formed by a parts of size 1/b.
3.NF.2,Number And OperationsÑFractions5,Develop Understanding Of Fractions As Numbers.,Understand a fraction as a number on the number line; represent fractions on a number line diagram.
3.NF.2.a,Number And OperationsÑFractions5,Develop Understanding Of Fractions As Numbers.,Represent a fraction 1/b on a number line diagram by defining the interval from 0 to 1 as the whole and partitioning it into b equal parts. Recognize that each part has size 1/b and that the endpoint of the part based at 0 locates the number 1/b on the number line.
3.NF.2.b,Number And OperationsÑFractions5,Develop Understanding Of Fractions As Numbers.,Represent a fraction a/b on a number line diagram by marking off a lengths 1/b from 0. Recognize that the resulting interval has size a/b and that its endpoint locates the number a/b on the number line.
3.NF.3,Number And OperationsÑFractions5,Develop Understanding Of Fractions As Numbers.,"Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size."
3.NF.3.a,Number And OperationsÑFractions5,Develop Understanding Of Fractions As Numbers.,"Understand two fractions as equivalent (equal) if they are the same size, or the same point on a number line."
3.NF.3.b,Number And OperationsÑFractions5,Develop Understanding Of Fractions As Numbers.,"Recognize and generate simple equivalent fractions, e.g., 1/2 = 2/4, 4/6 = 2/3). Explain why the fractions are equivalent, e.g., by using a visual fraction model."
3.NF.3.c,Number And OperationsÑFractions5,Develop Understanding Of Fractions As Numbers.,"Express whole numbers as fractions, and recognize fractions that are equivalent to whole numbers. Examples: Express 3 in the form 3 = 3/1; recognize that 6/1 = 6; locate 4/4 and 1 at the same point of a number line diagram."
3.NF.3.d,Number And OperationsÑFractions5,Develop Understanding Of Fractions As Numbers.,"Compare two fractions with the same numerator or the same denominator by reasoning about their size. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with the symbols >, =, or <, and justify the conclusions, e.g., by using a visual fraction model."
3.MD.1,Measurement And Data,"Solve Problems Involving Measurement And Estimation Of Intervals Of Time, Liquid Volumes, And Masses Of Objects.","Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes, e.g., by representing the problem on a number line diagram."
3.MD.2,Measurement And Data,"Solve Problems Involving Measurement And Estimation Of Intervals Of Time, Liquid Volumes, And Masses Of Objects.","Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms (kg), and liters (l).6 Add, subtract, multiply, or divide to solve one-step word problems involving masses or volumes that are given in the same units, e.g., by using drawings (such as a beaker with a measurement scale) to represent the problem.7"
3.MD.3,Measurement And Data,Represent And Interpret Data.,"Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step Òhow many moreÓ and Òhow many lessÓ problems using information presented in scaled bar graphs. For example, draw a bar graph in which each square in the bar graph might represent 5 pets."
3.MD.4,Measurement And Data,Represent And Interpret Data.,"Generate measurement data by measuring lengths using rulers marked with halves and fourths of an inch. Show the data by making a line plot, where the horizontal scale is marked off in appropriate unitsÑ whole numbers, halves, or quarters."
3.MD.5,Measurement And Data,Geometric Measurement: Understand Concepts Of Area And Relate Area To Multiplication And To Addition.,Recognize area as an attribute of plane figures and understand concepts of area measurement.
3.MD.5.a,Measurement And Data,Geometric Measurement: Understand Concepts Of Area And Relate Area To Multiplication And To Addition.,"A square with side length 1 unit, called Òa unit square,Ó is said to have Òone square unitÓ of area, and can be used to measure area."
3.MD.5.b,Measurement And Data,Geometric Measurement: Understand Concepts Of Area And Relate Area To Multiplication And To Addition.,A plane figure which can be covered without gaps or overlaps by n unit squares is said to have an area of n square units.
3.MD.6,Measurement And Data,Geometric Measurement: Understand Concepts Of Area And Relate Area To Multiplication And To Addition.,"Measure areas by counting unit squares (square cm, square m, square in, square ft, and improvised units)."
3.MD.7,Measurement And Data,Geometric Measurement: Understand Concepts Of Area And Relate Area To Multiplication And To Addition.,Relate area to the operations of multiplication and addition.
3.MD.7.a,Measurement And Data,Geometric Measurement: Understand Concepts Of Area And Relate Area To Multiplication And To Addition.,"Find the area of a rectangle with whole-number side lengths by tiling it, and show that the area is the same as would be found by multiplying the side lengths."
3.MD.7.b,Measurement And Data,Geometric Measurement: Understand Concepts Of Area And Relate Area To Multiplication And To Addition.,"Multiply side lengths to find areas of rectangles with whole- number side lengths in the context of solving real world and mathematical problems, and represent whole-number products as rectangular areas in mathematical reasoning."
3.MD.7.c,Measurement And Data,Geometric Measurement: Understand Concepts Of Area And Relate Area To Multiplication And To Addition.,Use tiling to show in a concrete case that the area of a rectangle with whole-number side lengths a and b + c is the sum of a _ b and a _ c. Use area models to represent the distributive property in mathematical reasoning.
3.MD.7.d,Measurement And Data,Geometric Measurement: Understand Concepts Of Area And Relate Area To Multiplication And To Addition.,"Recognize area as additive. Find areas of rectilinear figures by decomposing them into non-overlapping rectangles and adding the areas of the non-overlapping parts, applying this technique to solve real world problems."
3.MD.8,Measurement And Data,Geometric Measurement: Recognize Perimeter As An Attribute Of Plane Figures And Distinguish Between Linear And Area Measures.,"Solve real world and mathematical problems involving perimeters of polygons, including finding the perimeter given the side lengths, finding an unknown side length, and exhibiting rectangles with the same perimeter and different areas or with the same area and different perimeters."
3.G.1,Geometry,Reason With Shapes And Their Attributes.,"Understand that shapes in different categories (e.g., rhombuses, rectangles, and others) may share attributes (e.g., having four sides), and that the shared attributes can define a larger category (e.g., quadrilaterals). Recognize rhombuses, rectangles, and squares as examples of quadrilaterals, and draw examples of quadrilaterals that do not belong to any of these subcategories."
3.G.2,Geometry,Reason With Shapes And Their Attributes.,"Partition shapes into parts with equal areas. Express the area of each part as a unit fraction of the whole. For example, partition a shape into 4 parts with equal area, and describe the area of each part as 1/4 of the area of the shape."
4.OA.1,Operations And Algebraic Thinking,Use The Four Operations With Whole Numbers To Solve Problems.,"Interpret a multiplication equation as a comparison, e.g., interpret 35 = 5 _ 7 as a statement that 35 is 5 times as many as 7 and 7 times as many as 5. Represent verbal statements of multiplicative comparisons as multiplication equations."
4.OA.2,Operations And Algebraic Thinking,Use The Four Operations With Whole Numbers To Solve Problems.,"Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison.1"
4.OA.3,Operations And Algebraic Thinking,Use The Four Operations With Whole Numbers To Solve Problems.,"Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding."
4.OA.4,Operations And Algebraic Thinking,Gain Familiarity With Factors And Multiples.,Find all factor pairs for a whole number in the range 1Ð100. Recognize that a whole number is a multiple of each of its factors. Determine whether a given whole number in the range 1Ð100 is a multiple of a given one-digit number. Determine whether a given whole number in the range 1Ð100 is prime or composite.
4.OA.5,Operations And Algebraic Thinking,Generate And Analyze Patterns.,"Generate a number or shape pattern that follows a given rule. Identify apparent features of the pattern that were not explicit in the rule itself. For example, given the rule ÒAdd 3Ó and the starting number 1, generate terms in the resulting sequence and observe that the terms appear to alternate between odd and even numbers. Explain informally why the numbers will continue to alternate in this way."
4.NBT.1,Number And Operations In Base Ten2,Generalize Place Value Understanding For Multi-Digit Whole Numbers.,"Recognize that in a multi-digit whole number, a digit in one place represents ten times what it represents in the place to its right. For example, recognize that 700 Ö 70 = 10 by applying concepts of place value and division."
4.NBT.2,Number And Operations In Base Ten2,Generalize Place Value Understanding For Multi-Digit Whole Numbers.,"Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons."
4.NBT.3,Number And Operations In Base Ten2,Generalize Place Value Understanding For Multi-Digit Whole Numbers.,Use place value understanding to round multi-digit whole numbers to any place.
4.NBT.4,Number And Operations In Base Ten2,Use Place Value Understanding And Properties Of Operations To Perform Multi-Digit Arithmetic.,Fluently add and subtract multi-digit whole numbers using the standard algorithm.
4.NBT.5,Number And Operations In Base Ten2,Use Place Value Understanding And Properties Of Operations To Perform Multi-Digit Arithmetic.,"Multiply a whole number of up to four digits by a one-digit whole number, and multiply two two-digit numbers, using strategies based on place value and the properties of operations. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models."
4.NBT.6,Number And Operations In Base Ten2,Use Place Value Understanding And Properties Of Operations To Perform Multi-Digit Arithmetic.,"Find whole-number quotients and remainders with up to four-digit dividends and one-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models."
4.NF.1,Number And OperationsÑFractions3,Extend Understanding Of Fraction Equivalence And Ordering.,"Explain why a fraction a/b is equivalent to a fraction (n _ a)/(n _ b) by using visual fraction models, with attention to how the number and size of the parts differ even though the two fractions themselves are the same size. Use this principle to recognize and generate equivalent fractions."
