ID,Category,Sub Category,State Standard
2.RL.7,Reading Literature,Integration of Knowledge and Ideas,"Use information gained from the illustrations and words in a print or digital text to demonstrate understanding of its characters, setting, or plot."
2.RL.8,Reading Literature,Integration of Knowledge and Ideas,(Not applicable to literature)
2.RL.9,Reading Literature,Integration of Knowledge and Ideas,"Compare and contrast two or more versions of the same story (e.g., Cinderella stories) by different authors or from different cultures."
2.RL.10,Reading Literature,Range of Reading and Level of Text Complexity,"By the end of the year, read and comprehend literature, including stories and poetry, in the grades 2�3 text complexity band proficiently, with scaffolding as needed at the high end of the range."
3.RL.1,Reading Literature,Key Ideas and Details,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers."
3.RL.2,Reading Literature,Key Ideas and Details,"Recount stories, including fables, folktales, and myths from diverse cultures; determine the central message, lesson, or moral and explain how it is conveyed through key details in the text."
3.RL.3,Reading Literature,Key Ideas and Details,"Describe characters in a story (e.g., their traits, motivations, or feelings) and explain how their actions contribute to the sequence of events."
3.RL.4,Reading Literature,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, distinguishing literal from nonliteral language."
3.RL.5,Reading Literature,Craft and Structure,"Refer to parts of stories, dramas, and poems when writing or speaking about a text, using terms such as chapter, scene, and stanza; describe how each successive part builds on earlier sections."
3.RL.6,Reading Literature,Craft and Structure,Distinguish their own point of view from that of the narrator or those of the characters.
3.RL.7,Reading Literature,Integration of Knowledge and Ideas,"Explain how specific aspects of a text�s illustrations contribute to what is conveyed by the words in a story (e.g., create mood, emphasize aspects of a character or setting)."
3.RL.8,Reading Literature,Integration of Knowledge and Ideas,(Not applicable to literature)
3.RL.9,Reading Literature,Integration of Knowledge and Ideas,"Compare and contrast the themes, settings, and plots of stories written by the same author about the same or similar characters (e.g., in books from a series)."
3.RL.10,Reading Literature,Range of Reading and Complexity of Text,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 2�3 text complexity band independently and proficiently."
4.RL.1,Reading Literature,Key Ideas and Details,Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text.
4.RL.2,Reading Literature,Key Ideas and Details,"Determine a theme of a story, drama, or poem from details in the text; summarize the text."
4.RL.3,Reading Literature,Key Ideas and Details,"Describe in depth a character, setting, or event in a story or drama, drawing on specific details in the text (e.g., a character�s thoughts, words, or actions)."
4.RL.4,Reading Literature,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including those that allude to significant characters found in mythology (e.g., Herculean)."
4.RL.5,Reading Literature,Craft and Structure,"Explain major differences between poems, drama, and prose, and refer to the structural elements of poems (e.g., verse, rhythm, meter) and drama (e.g., casts of characters, settings, descriptions, dialogue, stage directions) when writing or speaking about a text."
4.RL.6,Reading Literature,Craft and Structure,"Compare and contrast the point of view from which different stories are narrated, including the difference between first- and third-person narrations."
4.RL.7,Reading Literature,Integration of Knowledge and Ideas,"Make connections between the text of a story or drama and a visual or oral presentation of the text, identifying where each version reflects specific descriptions and directions in the text."
4.RL.8,Reading Literature,Integration of Knowledge and Ideas,(Not applicable to literature)
4.RL.9,Reading Literature,Integration of Knowledge and Ideas,"Compare and contrast the treatment of similar themes and topics (e.g., opposition of good and evil) and patterns of events (e.g., the quest) in stories, myths, and traditional literature from different cultures."
4.RL.10,Reading Literature,Range of Reading and Complexity of Text,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, in the grades 4�5 text complexity band proficiently, with scaffolding as needed at the high end of the range."
5.RL.1,Reading Literature,Key Ideas and Details,Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text.
5.RL.2,Reading Literature,Key Ideas and Details,"Determine a theme of a story, drama, or poem from details in the text, including how characters in a story or drama respond to challenges or how the speaker in a poem reflects upon a topic; summarize the text."
5.RL.3,Reading Literature,Key Ideas and Details,"Compare and contrast two or more characters, settings, or events in a story or drama, drawing on specific details in the text (e.g., how characters interact)."
5.RL.4,Reading Literature,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including figurative language such as metaphors and similes."
5.RL.5,Reading Literature,Craft and Structure,"Explain how a series of chapters, scenes, or stanzas fits together to provide the overall structure of a particular story, drama, or poem."
5.RL.6,Reading Literature,Craft and Structure,Describe how a narrator�s or speaker�s point of view influences how events are described.
5.RL.7,Reading Literature,Integration of Knowledge and Ideas,"Analyze how visual and multimedia elements contribute to the meaning, tone, or beauty of a text (e.g., graphic novel, multimedia presentation of fiction, folktale, myth, poem)."
5.RL.8,Reading Literature,Integration of Knowledge and Ideas,(Not applicable to literature)
5.RL.9,Reading Literature,Integration of Knowledge and Ideas,"Compare and contrast stories in the same genre (e.g., mysteries and adventure stories) on their approaches to similar themes and topics."
5.RL.10,Reading Literature,Range of Reading and Complexity of Text,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 4�5 text complexity band independently and proficiently."
K.RI.1,Reading Informational,Key Ideas and Details,"With prompting and support, ask and answer questions about key details in a text."
K.RI.2,Reading Informational,Key Ideas and Details,"With prompting and support, identify the main topic and retell key details of a text."
K.RI.3,Reading Informational,Key Ideas and Details,"With prompting and support, describe the connection between two individuals, events, ideas, or pieces of information in a text."
K.RI.4,Reading Informational,Craft and Structure,"With prompting and support, ask and answer questions about unknown words in a text."
K.RI.5,Reading Informational,Craft and Structure,"Identify the front cover, back cover, and title page of a book."
K.RI.6,Reading Informational,Craft and Structure,Name the author and illustrator of a text and define the role of each in presenting the ideas or information in a text.
K.RI.7,Reading Informational,Integration of Knowledge and Ideas,"With prompting and support, describe the relationship between illustrations and the text in which they appear (e.g., what person, place, thing, or idea in the text an illustration depicts)."
K.RI.8,Reading Informational,Integration of Knowledge and Ideas,"With prompting and support, identify the reasons an author gives to support points in a text."
K.RI.9,Reading Informational,Integration of Knowledge and Ideas,"With prompting and support, identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures)."
K.RI.10,Reading Informational,Range of Reading and Level of Text Complexity,Actively engage in group reading activities with purpose and understanding.
1.RI.1,Reading Informational,Key Ideas and Details,Ask and answer questions about key details in a text.
1.RI.2,Reading Informational,Key Ideas and Details,Identify the main topic and retell key details of a text.
1.RI.3,Reading Informational,Key Ideas and Details,"Describe the connection between two individuals, events, ideas, or pieces of information in a text."
1.RI.4,Reading Informational,Craft and Structure,Ask and answer questions to help determine or clarify the meaning of words and phrases in a text.
1.RI.5,Reading Informational,Craft and Structure,"Know and use various text features (e.g., headings, tables of contents, glossaries, electronic menus, icons) to locate key facts or information in a text."
1.RI.6,Reading Informational,Craft and Structure,Distinguish between information provided by pictures or other illustrations and information provided by the words in a text.
1.RI.7,Reading Informational,Integration of Knowledge and Ideas,Use the illustrations and details in a text to describe its key ideas.
1.RI.8,Reading Informational,Integration of Knowledge and Ideas,Identify the reasons an author gives to support points in a text.
1.RI.9,Reading Informational,Integration of Knowledge and Ideas,"Identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures)."
1.RI.10,Reading Informational,Range of Reading and Level of Text Complexity,"With prompting and support, read informational texts appropriately complex for grade 1."
2.RI.1,Reading Informational,Key Ideas and Details,"Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text."
2.RI.2,Reading Informational,Key Ideas and Details,Identify the main topic of a multiparagraph text as well as the focus of specific paragraphs within the text.
2.RI.3,Reading Informational,Key Ideas and Details,"Describe the connection between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text."
2.RI.4,Reading Informational,Craft and Structure,Determine the meaning of words and phrases in a text relevant to a grade 2 topic or subject area.
2.RI.5,Reading Informational,Craft and Structure,"Know and use various text features (e.g., captions, bold print, subheadings, glossaries, indexes, electronic menus, icons) to locate key facts or information in a text efficiently."
2.RI.6,Reading Informational,Craft and Structure,"Identify the main purpose of a text, including what the author wants to answer, explain, or describe."
2.RI.7,Reading Informational,Integration of Knowledge and Ideas,"Explain how specific images (e.g., a diagram showing how a machine works) contribute to and clarify a text."
2.RI.8,Reading Informational,Integration of Knowledge and Ideas,Describe how reasons support specific points the author makes in a text.
2.RI.9,Reading Informational,Integration of Knowledge and Ideas,Compare and contrast the most important points presented by two texts on the same topic.
2.RI.10,Reading Informational,Range of Reading and Level of Text Complexity,"By the end of year, read and comprehend informational texts, including history/social studies, science, and technical texts, in the grades 2�3 text complexity band proficiently, with scaffolding as needed at the high end of the range."
3.RI.1,Reading Informational,Key Ideas and Details,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers."
3.RI.2,Reading Informational,Key Ideas and Details,Determine the main idea of a text; recount the key details and explain how they support the main idea.
3.RI.3,Reading Informational,Key Ideas and Details,"Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect."
3.RI.4,Reading Informational,Craft and Structure,Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 3 topic or subject area.
3.RI.5,Reading Informational,Craft and Structure,"Use text features and search tools (e.g., key words, sidebars, hyperlinks) to locate information relevant to a given topic efficiently."
3.RI.6,Reading Informational,Craft and Structure,Distinguish their own point of view from that of the author of a text.
3.RI.7,Reading Informational,Integration of Knowledge and Ideas,"Use information gained from illustrations (e.g., maps, photographs) and the words in a text to demonstrate understanding of the text (e.g., where, when, why, and how key events occur)."
3.RI.8,Reading Informational,Integration of Knowledge and Ideas,"Describe the logical connection between particular sentences and paragraphs in a text (e.g., comparison, cause/effect, first/second/third in a sequence)."
3.RI.9,Reading Informational,Integration of Knowledge and Ideas,Compare and contrast the most important points and key details presented in two texts on the same topic.
3.RI.10,Reading Informational,Range of Reading and Level of Text Complexity,"By the end of the year, read and comprehend informational texts, including history/social studies, science, and technical texts, at the high end of the grades 2�3 text complexity band independently and proficiently."
4.RI.1,Reading Informational,Key Ideas and Details,Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text.
4.RI.2,Reading Informational,Key Ideas and Details,Determine the main idea of a text and explain how it is supported by key details; summarize the text.
4.RI.3,Reading Informational,Key Ideas and Details,"Explain events, procedures, ideas, or concepts in a historical, scientific, or technical text, including what happened and why, based on specific information in the text."
4.RI.4,Reading Informational,Craft and Structure,Determine the meaning of general academic and domain-specific words or phrases in a text relevant to a grade 4 topic or subject area.
4.RI.5,Reading Informational,Craft and Structure,"Describe the overall structure (e.g., chronology, comparison, cause/effect, problem/solution) of events, ideas, concepts, or information in a text or part of a text."
4.RI.6,Reading Informational,Craft and Structure,Compare and contrast a firsthand and secondhand account of the same event or topic; describe the differences in focus and the information provided.
4.RI.7,Reading Informational,Integration of Knowledge and Ideas,"Interpret information presented visually, orally, or quantitatively (e.g., in charts, graphs, diagrams, time lines, animations, or interactive elements on Web pages) and explain how the information contributes to an understanding of the text in which it appears."
4.RI.8,Reading Informational,Integration of Knowledge and Ideas,Explain how an author uses reasons and evidence to support particular points in a text.
4.RI.9,Reading Informational,Integration of Knowledge and Ideas,Integrate information from two texts on the same topic in order to write or speak about the subject knowledgeably.
4.RI.10,Reading Informational,Range of Reading and Level of Text Complexity,"By the end of year, read and comprehend informational texts, including history/social studies, science, and technical texts, in the grades 4�5 text complexity band proficiently, with scaffolding as needed at the high end of the range."
5.RI.1,Reading Informational,Key Ideas and Details,Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text.
5.RI.2,Reading Informational,Key Ideas and Details,Determine two or more main ideas of a text and explain how they are supported by key details; summarize the text.
5.RI.3,Reading Informational,Key Ideas and Details,"Explain the relationships or interactions between two or more individuals, events, ideas, or concepts in a historical, scientific, or technical text based on specific information in the text."
5.RI.4,Reading Informational,Craft and Structure,Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 5 topic or subject area.
5.RI.5,Reading Informational,Craft and Structure,"Compare and contrast the overall structure (e.g., chronology, comparison, cause/effect, problem/solution) of events, ideas, concepts, or information in two or more texts."
5.RI.6,Reading Informational,Craft and Structure,"Analyze multiple accounts of the same event or topic, noting important similarities and differences in the point of view they represent."
5.RI.7,Reading Informational,Integration of Knowledge and Ideas,"Draw on information from multiple print or digital sources, demonstrating the ability to locate an answer to a question quickly or to solve a problem efficiently."
5.RI.8,Reading Informational,Integration of Knowledge and Ideas,"Explain how an author uses reasons and evidence to support particular points in a text, identifying which reasons and evidence support which point(s)."
5.RI.9,Reading Informational,Integration of Knowledge and Ideas,Integrate information from several texts on the same topic in order to write or speak about the subject knowledgeably.
5.RI.10,Reading Informational,Range of Reading and Level of Text Complexity,"By the end of the year, read and comprehend informational texts, including history/social studies, science, and technical texts, at the high end of the grades 4�5 text complexity band independently and proficiently."
K.RF.1,Reading Foundational Skills,Print Concepts,Demonstrate understanding of the organization and basic features of print.
K.RF.1.a,Reading Foundational Skills,Print Concepts,"Follow words from left to right, top to bottom, and page by page."
K.RF.1.b,Reading Foundational Skills,Print Concepts,Recognize that spoken words are represented in written language by specific sequences of letters.
K.RF.1.c,Reading Foundational Skills,Print Concepts,Understand that words are separated by spaces in print.
K.RF.1.d,Reading Foundational Skills,Print Concepts,Recognize and name all upper- and lowercase letters of the alphabet.
K.RF.2,Reading Foundational Skills,Phonological awareness,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes)."
K.RF.2.a,Reading Foundational Skills,Phonological awareness,Recognize and produce rhyming words.
K.RF.2.b,Reading Foundational Skills,Phonological awareness,"Count, pronounce, blend, and segment syllables in spoken words."
K.RF.2.c,Reading Foundational Skills,Phonological awareness,Blend and segment onsets and rimes of single-syllable spoken words.
K.RF.2.d,Reading Foundational Skills,Phonological awareness,"Isolate and pronounce the initial, medial vowel, and final sounds (phonemes) in three-phoneme (consonent-vowel-consonent, or CVC) words.* (This does not include CVCs ending with /l/, /r/, or /x/.)"
K.RF.2.e,Reading Foundational Skills,Phonological awareness,"Add or substitute individual sounds (phonemes) in simple, one-syllable words to make new words."
K.RF.3,Reading Foundational Skills,Phonics and Word recognition,Know and apply grade-level phonics and word analysis skills in decoding words.
K.RF.3.a,Reading Foundational Skills,Phonics and Word recognition,Demonstrate basic knowledge of one-to-one letter-sound correspondences by producing the primary or many of the most frequent sound for each consonant.
K.RF.3.b,Reading Foundational Skills,Phonics and Word recognition,Associate the long and short sounds with common spellings (graphemes) for the five major vowels.
K.RF.3.c,Reading Foundational Skills,Phonics and Word recognition,"Read common high-frequency words by sight (e.g., the, of, to, you, she, my, is, are, do, does)."
K.RF.3.d,Reading Foundational Skills,Phonics and Word recognition,Distinguish between similarly spelled words by identifying the sounds of the letters that differ.
K.RF.4,Reading Foundational Skills,Fluency,Read emergent-reader texts with purpose and understanding.
1.RF.1,Reading Foundational Skills,Print Concepts,Demonstrate understanding of the organization and basic features of print.
1.RF.1.a,Reading Foundational Skills,Print Concepts,"Recognize the distinguishing features of a sentence (e.g., first word, capitalization, ending punctuation)."
1.RF.2,Reading Foundational Skills,Phonological awareness,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes)."
1.RF.2.a,Reading Foundational Skills,Phonological awareness,Distinguish long from short vowel sounds in spoken single-syllable words.
1.RF.2.b,Reading Foundational Skills,Phonological awareness,"Orally produce single-syllable words by blending sounds (phonemes), including consonant blends."
1.RF.2.c,Reading Foundational Skills,Phonological awareness,"Isolate and pronounce initial, medial vowel, and final sounds (phonemes) in spoken single-syllable words."
1.RF.2.d,Reading Foundational Skills,Phonological awareness,Segment spoken single-syllable words into their complete sequence of individual sounds (phonemes).
1.RF.3,Reading Foundational Skills,Phonics and Word recognition,Know and apply grade-level phonics and word analysis skills in decoding words.
1.RF.3.a,Reading Foundational Skills,Phonics and Word recognition,Know the spelling-sound correspondences for common consonant digraphs.
1.RF.3.b,Reading Foundational Skills,Phonics and Word recognition,Decode regularly spelled one-syllable words.
1.RF.3.c,Reading Foundational Skills,Phonics and Word recognition,Know final -e and common vowel team conventions for representing long vowel sounds.
1.RF.3.d,Reading Foundational Skills,Phonics and Word recognition,Use knowledge that every syllable must have a vowel sound to determine the number of syllables in a printed word.
1.RF.3.e,Reading Foundational Skills,Phonics and Word recognition,Decode two-syllable words following basic patterns by breaking the words into syllables.
1.RF.3.f,Reading Foundational Skills,Phonics and Word recognition,Read words with inflectional endings.
1.RF.3.g,Reading Foundational Skills,Phonics and Word recognition,Recognize and read grade-appropriate irregularly spelled words.
1.RF.4,Reading Foundational Skills,Fluency,Read with sufficient accuracy and fluency to support comprehension.
1.RF.4.a,Reading Foundational Skills,Fluency,Read on-level text with purpose and understanding.
1.RF.4.b,Reading Foundational Skills,Fluency,"Read on-level text orally with accuracy, appropriate rate, and expression on successive readings."
1.RF.4.c,Reading Foundational Skills,Fluency,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
2.RF.3,Reading Foundational Skills,Phonics and Word recognition,Know and apply grade-level phonics and word analysis skills in decoding words.
2.RF.3.a,Reading Foundational Skills,Phonics and Word recognition,Distinguish long and short vowels when reading regularly spelled one-syllable words.
2.RF.3.b,Reading Foundational Skills,Phonics and Word recognition,Know spelling-sound correspondences for additional common vowel teams.
2.RF.3.c,Reading Foundational Skills,Phonics and Word recognition,Decode regularly spelled two-syllable words with long vowels.
2.RF.3.d,Reading Foundational Skills,Phonics and Word recognition,Decode words with common prefixes and suffixes.
2.RF.3.e,Reading Foundational Skills,Phonics and Word recognition,Identify words with inconsistent but common spelling-sound correspondences.
2.RF.3.f,Reading Foundational Skills,Phonics and Word recognition,Recognize and read grade-appropriate irregularly spelled words.
2.RF.4,Reading Foundational Skills,Fluency,Read with sufficient accuracy and fluency to support comprehension.
2.RF.4.a,Reading Foundational Skills,Fluency,Read on-level text with purpose and understanding.
2.RF.4.b,Reading Foundational Skills,Fluency,"Read on-level text orally with accuracy, appropriate rate, and expression on successive readings."
2.RF.4.c,Reading Foundational Skills,Fluency,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
3.RF.3,Reading Foundational Skills,Phonics and Word recognition,Know and apply grade-level phonics and word analysis skills in decoding words.
3.RF.3.a,Reading Foundational Skills,Phonics and Word recognition,Identify and know the meaning of the most common prefixes and derivational suffixes.
3.RF.3.b,Reading Foundational Skills,Phonics and Word recognition,Decode words with common Latin suffixes.
3.RF.3.c,Reading Foundational Skills,Phonics and Word recognition,Decode multisyllable words.
3.RF.3.d,Reading Foundational Skills,Phonics and Word recognition,Read grade-appropriate irregularly spelled words.
3.RF.4,Reading Foundational Skills,Fluency,Read with sufficient accuracy and fluency to support comprehension.
3.RF.4.a,Reading Foundational Skills,Fluency,Read on-level text with purpose and understanding.
3.RF.4.b,Reading Foundational Skills,Fluency,"Read on-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings"
3.RF.4.c,Reading Foundational Skills,Fluency,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
4.RF.3,Reading Foundational Skills,Phonics and Word recognition,Know and apply grade-level phonics and word analysis skills in decoding words.
4.RF.3.a,Reading Foundational Skills,Phonics and Word recognition,"Use combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar multisyllabic words in context and out of context."
4.RF.4,Reading Foundational Skills,Fluency,Read with sufficient accuracy and fluency to support comprehension.
4.RF.4.a,Reading Foundational Skills,Fluency,Read on-level text with purpose and understanding.
4.RF.4.b,Reading Foundational Skills,Fluency,"Read on-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings."
4.RF.4.c,Reading Foundational Skills,Fluency,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
5.RF.3,Reading Foundational Skills,Phonics and Word recognition,Know and apply grade-level phonics and word analysis skills in decoding words.
5.RF.3.a,Reading Foundational Skills,Phonics and Word recognition,"Use combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar multisyllabic words in context and out of context."
5.RF.4,Reading Foundational Skills,Fluency,Read with sufficient accuracy and fluency to support comprehension.
5.RF.4.a,Reading Foundational Skills,Fluency,Read on-level text with purpose and understanding.
5.RF.4.b,Reading Foundational Skills,Fluency,"Read on-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings."
5.RF.4.c,Reading Foundational Skills,Fluency,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
K.W.1,Writing,Text Types and Purposes,"Use a combination of drawing, dictating, and writing to compose opinion pieces in which they tell a reader the topic or the name of the book they are writing about and state an opinion or preference about the topic or book (e.g., My favorite book is...)."
K.W.2,Writing,Text Types and Purposes,"Use a combination of drawing, dictating, and writing to compose informative/explanatory texts in which they name what they are writing about and supply some information about the topic."
K.W.3,Writing,Text Types and Purposes,"Use a combination of drawing, dictating, and writing to narrate a single event or several loosely linked events, tell about the events in the order in which they occurred, and provide a reaction to what happened."
K.W.4,Writing,Production and Distribution of Writing,(Begins in grade 3)
K.W.5,Writing,Production and Distribution of Writing,"With guidance and support from adults, respond to questions and suggestions from peers and add details to strengthen writing as needed."
K.W.6,Writing,Production and Distribution of Writing,"With guidance and support from adults, explore a variety of digital tools to produce and publish writing, including in collaboration with peers."
K.W.7,Writing,Research to Build and Present Knowledge,"Participate in shared research and writing projects (e.g., explore a number of books by a favorite author and express opinions about them)."
K.W.8,Writing,Research to Build and Present Knowledge,"With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question."
K.W.9,Writing,Research to Build and Present Knowledge,(Begins in grade 4)
K.W.10,Writing,Range of Writing,(Begins in grade 3)
1.W.1,Writing,Text Types and Purposes,"Write opinion pieces in which they introduce the topic or name the book they are writing about, state an opinion, supply a reason for the opinion, and provide some sense of closure."
1.W.2,Writing,Text Types and Purposes,"Write informative/explanatory texts in which they name a topic, supply some facts about the topic, and provide some sense of closure."
1.W.3,Writing,Text Types and Purposes,"Write narratives in which they recount two or more appropriately sequenced events, include some details regarding what happened, use temporal words to signal event order, and provide some sense of closure."
1.W.4,Writing,Production and Distribution of Writing,(Begins in grade 3)
1.W.5,Writing,Production and Distribution of Writing,"With guidance and support from adults, focus on a topic, respond to questions and suggestions from peers, and add details to strengthen writing as needed."
1.W.6,Writing,Production and Distribution of Writing,"With guidance and support from adults, use a variety of digital tools to produce and publish writing, including in collaboration with peers."
1.W.7,Writing,Research to Build and Present Knowledge,"Participate in shared research and writing projects (e.g., explore a number of �how-to� books on a given topic and use them to write a sequence of instructions)."
1.W.8,Writing,Research to Build and Present Knowledge,"With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question."
1.W.9,Writing,Research to Build and Present Knowledge,(Begins in grade 4)
1.W.10,Writing,Range of Writing,(Begins in grade 3)
2.W.1,Writing,Text Types and Purposes,"Write opinion pieces in which they introduce the topic or book they are writing about, state an opinion, supply reasons that support the opinion, use linking words (e.g., because, and, also) to connect opinion and reasons, and provide a concluding statement or section."
2.W.2,Writing,Text Types and Purposes,"Write informative/explanatory texts in which they introduce a topic, use facts and definitions to develop points, and provide a concluding statement or section."
2.W.3,Writing,Text Types and Purposes,"Write narratives in which they recount a well-elaborated event or short sequence of events, include details to describe actions, thoughts, and feelings, use temporal words to signal event order, and provide a sense of closure."
2.W.4,Writing,Production and Distribution of Writing,(Begins in grade 3)
2.W.5,Writing,Production and Distribution of Writing,"With guidance and support from adults and peers, focus on a topic and strengthen writing as needed by revising and editing."
2.W.6,Writing,Production and Distribution of Writing,"With guidance and support from adults, use a variety of digital tools to produce and publish writing, including in collaboration with peers."
2.W.7,Writing,Research to Build and Present Knowledge,"Participate in shared research and writing projects (e.g., read a number of books on a single topic to produce a report; record science observations)."
2.W.8,Writing,Research to Build and Present Knowledge,Recall information from experiences or gather information from provided sources to answer a question.
2.W.9,Writing,Research to Build and Present Knowledge,(Begins in grade 4)
2.W.10,Writing,Range of Writing,(Begins in grade 3)
3.W.1,Writing,Text Types and Purposes,"Write opinion pieces on topics or texts, supporting a point of view with reasons."
3.W.1.a,Writing,Text Types and Purposes,"Introduce the topic or text they are writing about, state an opinion, and create an organizational structure that lists reasons."
3.W.1.b,Writing,Text Types and Purposes,Provide reasons that support the opinion.
3.W.1.c,Writing,Text Types and Purposes,"Use linking words and phrases (e.g., because, therefore, since, for example) to connect opinion and reasons."
3.W.1.d,Writing,Text Types and Purposes,Provide a concluding statement or section.
3.W.2,Writing,Text Types and Purposes,Write informative/explanatory texts to examine a topic and convey ideas and information clearly.
3.W.2.a,Writing,Text Types and Purposes,Introduce a topic and group related information together; include illustrations when useful to aiding comprehension.
3.W.2.b,Writing,Text Types and Purposes,"Develop the topic with facts, definitions, and details."
3.W.2.c,Writing,Text Types and Purposes,"Use linking words and phrases (e.g., also, another, and, more, but) to connect ideas within categories of information."
3.W.2.d,Writing,Text Types and Purposes,Provide a concluding statement or section.
3.W.3,Writing,Text Types and Purposes,"Write narratives to develop real or imagined experiences or events using effective technique, descriptive details, and clear event sequences."
3.W.3.a,Writing,Text Types and Purposes,Establish a situation and introduce a narrator and/or characters; organize an event sequence that unfolds naturally.
3.W.3.b,Writing,Text Types and Purposes,"Use dialogue and descriptions of actions, thoughts, and feelings to develop experiences and events or show the response of characters to situations."
3.W.3.c,Writing,Text Types and Purposes,Use temporal words and phrases to signal event order.
3.W.3.d,Writing,Text Types and Purposes,Provide a sense of closure.
